Wine_Id,Name,Type,DO,Size,Grape,Ageing,Sight,Smell,Taste,Pairing
96,Vino GR-174,Tintos,D.O Priorat,"0,75L","Samso,Cabernet franc,Syrah,Cabernet sauvignon,Merlot,Garnacha",Sin crianza,Rojo picota con profundidad,"Fruta de hueso, fruta fresca, minerales y balsámicos","Carnoso, con buen equilibrio y elegante","Aves, estofados, pescado azul, asados, caza"
97,Bot Terra Alta ,Tintos,D.O Terra Alta,,"Garnacha,Cariñena,Syrah,Merlot,Cabernet sauvignon",1 mes en barrica de roble francés y americano,Cereza intenso,Frutos rojos y toques tostados,"Frutas del bosque con notas de madera de roble (vainilla, ahumados) ","Carnes, guisos, quesos, asados"
98,Tinto selección Marqués del Atrio,Tintos,D.O Rioja,,"Tempranillo,Graciano","6 meses en barrica de roble americano y uno, dos meses en botella",Rojo rubí brillante de intensidad media-alta,Aromas a frutas rojas maduras con elegantes toques de regaliz y notas tostadas y de vainilla,Equilibrado en boca con un largo y elegante postgusto final ,"Ideal para todas clases de carnes, pastas, tapas y quesos no muy curados"
99,Yllera,Tintos,V. de la tierra de Castilla y León,,Tempranillo,12 meses en barrica de roble americano y francés,Rojo guinda oscuro brillante,"Aroma afrutado, con notas de vainilla, especias, cacao y torrefactos","Carnoso, en boca con taninos bien integrados, con final largo y persistente","Carnes rojas y blancas, guisos de legumbres, embutidos ibéricos, quesos curados y semi curados "
100,Vino Ètim,Tintos,D.O Montsant,"0,75L","Cariñena,Syrah,Garnacha",6 meses en barrica de roble francés y americano,Rojo cereza intenso con ribete rubí,Aromas francos,Redondo y equilibrado,"Carnes rojas, quesos semicurados y embutidos"
101,Vino Arienzo,Tintos,D.O Rioja,,"Tempranillo,Graciano",18 meses en barricas de roble americano,Rojo rubí cardenalicio de capa media y ribete violáceo,"Frutos rojos mezclados con aromas de madera, coco y vainilla","Amplio en boca, persistente y con carácter","Carnes blancas y rojas a la brasa, pescado azul y quesos curados "
102,Vino Consigna,Tintos,I.G.P. V. de la tierra de Castilla,"0,187L",Merlot,Sin crianza,Rojo intenso,"Complejo, frutas rojas maduras","Rico, franco, elegante y equilibrado con taninos suaves","Carnes de ternera o venado, arroz caldoso y cordero"
103,Techno Hu-Ha,Tintos,D.O Valencia,,Bobal,2 meses en barrica de roble americano y húngaro.,Color rojo violáceo con aromas a fruta roja,Notas florales y matices tostados donde predomina la potencia frutal.,"Amplia, golosa, fresca, y con un perfecto
equilibrio.","HU-HA es un technovino que marida perfectamente con la esencia de
libertad de nuestra tierra y los mejores amaneceres del
Mediterráneo."
104,Vino Viñas del Vero ,Tintos,D.O Somontano,"0,75L","Cabernet sauvignon,Tempranillo",8 meses en barrica de roble,Rojo intenso,"Expresivo y contundente, fruta roja madura y elegantes tostados","Suave, amable y placentero, con persistencia larga y elegante","Carnes rojas, caza menor, guisos especiados, pescados y quesos"
105,Vino Viña Albali,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,12 meses en barrica de roble americano y entre 2-3 años en botella,Rojo cereza,"Aromas de vainilla, chocolate, especias y frutas en compota",Agradable y suave con buena expresión tánica y final suave y prolongado,Carnes a la brasa y quesos manchegos
106,Vino Señorío de Benidorm,Tintos,D.O Alicante,"0,75L","Syrah,Monastrell","100 días en barricas nuevas de roble francés, americano y húngaro","De corazón cereza, meniscos guindas y ribete violáceo",Frutas negras y del bosque,"Paso de boca amplio, redondo y goloso, con final largo","Tapas, arroces, carnes rojas y cocina tradicional"
107,Vino René Barbier,Tintos,D.O Penedès,"0,75L",Cabernet sauvignon,Sin crianza,Rojo picota con tonos violáceos,Frutas y especias,"Sabroso, con taninos dulces y final largo","Carnes rojas y blancas, estofados, quesos semicurados"
108,Vino Corazón Loco,Tintos,D.O Manchuela,"0,75L","Syrah,Tempranillo",Sin crianza,Rojo violeta intenso,"Frambuesa, cereza, mora, violetas, cacao y regaliz","Franco, recordando las sensaciones olfativas","Carnes rojas, quesos semicurados y embutidos"
109,Vino Portia,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,4 meses en barrica de roble francés,Granate con destellos púrpura,Aromas tostados y fruta fresca,Paso estructurado con tanino redondo y toque final frutal,"Carnes, patatas a la brasa, pescados y mariscos, quesos de media curación, arroces, pastas, alubias y purés en general"
110,Vino Sumarroca,Tintos,D.O Penedès,"0,75L","Cabernet sauvignon,Tempranillo,Merlot",Sin crianza,Cereza madura con ribete violáceo,"Intenso, aroma a frutas rojas ","Suave y aterciopelado, con final largo y notas balsámicas","Guisos y carnes, quesos y frutos secos"
111,Vino Altos de Tamaron,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,14 meses en barrica de roble americano y 9 meses en botella,Intenso color cereza con tonos violáceos,"Aromas a frutos negros, cacao, tabaco y especias","Untuoso y envolvente, con postgusto largo y elegante","Cochinillo, lechazo, guisos y carnes de caza"
112,Con un par,Tintos,D.O Valencia,,"Monastrell,Petit verdot",Sin crianza,Rojo amoratado vivo y brillante,Aromas a frutas rojas confitadas y toques de especies,"Potente y de gran personalidad. Bien estructurado, suave y fresco con postgusto persistente y agradable","Arroces, pastas, verduras, pollo, carnes rojas y pescado azul"
113,Vino Enate,Tintos,D.O Somontano,"0,75L","Cabernet sauvignon,Merlot",6 meses en barrica de roble americano y francés,Cereza de media capa,"Frutos del bosque, matices florales y atisbos de pimienta, vainilla y sotobosque","Suave y redondo, equilibrado, con final de boca sabroso","Asados, carnes y quesos"
114,Carlades crianza,Tintos,,,Tempranillo,6 meses en barrica de roble americano y 2 años en botella,Rojo rubí con ribetes color cereza,"Aromas a frutos negros, vainilla y especias","Agradable y suave en boca, con buena expresión tánica y final amable","Carnes a la brasa, carne de caza y quesos"
115,Vino Faustino VII,Tintos,D.O Rioja,"0,75L",Tempranillo,6 meses en barrica de roble americano,Rojo picota brillante con evolución a granate,"Agradable, frutos rojos y toque dulce por el paso por barrica","Fresco y elegante, notas frutales y barrica","Carnes, patatas a la brasa, pescados y mariscos, quesos de media curación, arroces, pastas, alubias y purés en general"
116,Vino Condado de Haza,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,18 meses en barrica de roble americano y 6 meses en botella,Rojo picota intenso con ribete violáceo,Aromas frutales y florales con notas balsámicas,"Suave y aterciopelado, seco, potente, elegante, de postgusto fino y duradero","Carnes asadas, rabo de toro, quesos semicurados, cochinillo asado, cordero asado"
117,Vino Viña Laujar ,Tintos,V. de la tierra Laujar-Alpujarra,"0,75L",Tempranillo,4-6 meses en barrica de roble,Rojo cereza picota y ribete azulado,"Complejo, elegante y potente, notas de roble y especias",Carnoso y equilibrado,"Carnes rojas, caza y quesos   "
118,Vino Protos,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,12 meses en barrica de roble americano y francés y 12 meses en botella,Picota con tintes púrpuras,Fruta madura con tostados de roble,"Potente, afrutado, tostados, con final largo","Callos a la madrileña, carne mechada, carpaccio de buey o ternera, cordero, guisos"
119,Vino Enrique Mendoza,Tintos,D.O Alicante,"0,75L","Cabernet sauvignon,Monastrell",11 meses en barrica de roble americano y francés,Rojo intenso,"Fruta negra, pimiento, cacao, especias y flores",Buena acidez y cuerpo con final largo,"Pastas, arroces, carnes"
120,Vino Hoya de Cadenas,Tintos,D.O Utiel-Requena,"0,75L",Cabernet sauvignon,4 meses en barrica de roble francés,Rojo rubí brillante,Aromas dulces e intensas grosellas negras,"Grosellas negras y frambuesas, bien estructurado y equilibrado","Carnes rojas, arroces melosos, estofados y embutido"
121,Vino Faustino Rivero Ulecia,Tintos,D.O Rioja,"0,75L",Tempranillo,Sin crianza,Rojo brillante,Frutas rojas y notas de regaliz,Bien equilibrado,"Carnes, pastas, tapas, quesos"
122,Vino Enterizo ,Tintos,D.O Utiel-Requena,"0,75L","Bobal,Garnacha",12 meses en barrica de roble francés y americano y 24 meses en botella,Rojo rubí con reflejos anaranjados,"Toffee, café con leche y notas mentoladas","Sedoso, de recorrido medio y taninos dulces","Arroces, carnes rojas, cordero al horno y pescados grasos"
123,Vino Finca Luzón,Tintos,D.O Jumilla,"0,75L","Syrah,Monastrell",Sin crianza,Granate con ribete violáceo,"Aromas frutales, fruta roja y madura","Potente y goloso, afrutado, fresco, suave y carnoso","Solomillo asado, estofados de carne, pollo asado, arroces secos, guisos, legumbres y quesos"
124,Vino Sangre de Toro,Tintos,D.O Cataluña,"0,75L","Cariñena,Garnacha",6 meses en barrica de roble americano y francés,Rojo cereza profundo,Aromas frutas rojas y toque sutil de crianza en barrica de roble,Aterciopelado y persistente con taninos redondos,"Estofados, caza, paellas de carne y cocina tradicional de montaña"
125,Vino Dehesas Viejas,Tintos,D.O Ribera del Duero,"0,375L",Tempranillo,Sin crianza,Rojo picota con ribete naranja,Frutas rojas y aromas florales,De recorrido medio-largo y acidez justa,"Carnes, embutidos, quesos, caza, asados"
126,Lopez de Haro,Tintos,D.O Rioja,,"Tempranillo,Garnacha,Graciano",18 meses en barrica de roble francés y americano,Granate con tonos teja,"Complejo, aromas a fruta madura y regaliz, con notas de café, vainilla y balsámicos","Suave y aterciopelado, con tanino dulce y maduro. Amable y fácil de beber con largo postgusto","Asados, guisos, carnes rojas, embutidos, quesos curados y semicurados."
127,Vino El Miracle,Tintos,D.O Valencia,"0,75L","Syrah,Tempranillo",Sin crianza,Cereza intenso y ribete violáceo,Frutos negros con toques especiados y aceituna negra,"Buena estructura, con final fresco y elegante","Cocina italiana, oriental, tapas y cocina vanguardista"
128,Vino Tesoro de Bullas,Tintos,D.O Bullas,"0,75L",Monastrell,Sin crianza,"Granate con reflejos violáceos, limpio y brillante","Intenso y aromático, con toques de frutas rojas, hierbas y flores","Suave, fresco, con buena estructura y notable recorrido","Quesos semicurados, pastas, arroces y tapas"
129,Vino La Boscana,Tintos,D.O Costers del Segre,"0,75L","Syrah,Tempranillo,Garnacha",4 meses en barrica de roble francés y americano,Rojo picota con reflejos granates,"Intenso, notas a vainilla, cacao y grosellas","Estructurado, con taninos redondos, equilibrado y con buena acidez","Sopas, guisos y estofados de liebre"
130,Vino Faustino Rivero Ulecia,Tintos,D.O Rioja,"0,75L","Tempranillo,Garnacha",12 meses en barrica de roble americano,Rojo granate con destellos teja,Notas de crianza en barrica y toques frutales,"Suave, con buena estructura y final largo y persistente","Carnes rojas, cordero, caza y quesos "
131,Vino Lagunilla,Tintos,D.O Rioja,"0,75L","Tempranillo,Garnacha","12 meses en depósito para su estabilización, luego 36 meses en barrica de roble y en botella",Cereza oscuro,"Aromas terrosos, frutas rojas y especias",Redondo y potente con postgusto persistente,"Asados, ternera, cordero, caza, pastas y salsas de tomate"
132,Vino Marqués de Cáceres ,Tintos,D.O Rioja,"0,75L","Graciano,Tempranillo,Garnacha",12 meses en barrica de roble francés y americano y 12 meses en botella,Granate   ,"Guinda, vainilla, tostado","Fruta viva, con taninos suaves","Pescados, charcutería fina (ibéricos), carnes asadas, estofadas o a la parrilla, foie, caza, quesos fuertes y curados"
133,Tinto Compta Ovelles,Tintos,D.O Penedès,,"Syrah,Merlot,Tempranillo",Sin crianza,Cereza picota con reflejos violáceos,Aromas a frutos rojas,Entrada fresca y amable con final balsámico y persistente,"Aperitivos, carnes rojas, arroces y asados"
134,Vino Murviedro,Tintos,D.O Valencia,"0,75L","Cabernet sauvignon,Monastrell,Tempranillo",12 meses en barrica de roble americano,Rojo rubí con reflejos teja,"Maduro y suave, aromas a fruta compotada sobre notas balsámicas","Amplio, redondo, untuoso y muy largo","Carnes, asados, quesos curados"
135,Vino Intramurs ,Tintos,,,"Syrah,Tempranillo",4 meses en barricas de roble francés,"Picota intenso con tonos púrpuras, de capa alta, limpio y brillante","Complejo, de buena intensidad, con aromas a fruta roja, confitura y especias","Generoso, fresco y buena persistencia con final largo","Arroces, pastas, carnes ligeras, legumbres y quesos"
136,Vino Altos de Tamaron,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,4 meses en botella,Intenso rojo cereza con tonos violáceos,Moras maduras y regaliz,Sedoso y afrutado con buena persistencia,"Carnes a la brasa y a la plancha, guisos y pastas"
137,Vino Coto de Imaz,Tintos,D.O Rioja,"0,75L","Graciano,Tempranillo","24 meses en barrica americana y francesa, seguido de 36 meses en botella ",Rubí brillante con tonos teja,"Notas tostadas de coco, cuero, tierra húmeda, frutos rojos y frutos secos","Retrogusto complejo y persistente, con taninos redondos y aseados","Cordero lechal asado, caza o carnes rojas"
138,Vino Gran Civet ,Tintos,D.O Penedès,"0,75L","Cabernet sauvignon,Tempranillo","8 meses en barrica de roble francés y americano, luego se completa su crianza hasta 2 años en botella",Rubí con matices teja,"Complejo, de buena intensidad con notas balsámicas","Rico, maduro y bien equilibrado, largo y persistente","Guisos y carnes, quesos y frutos secos"
139,Vino Castillo de Albai,Tintos,D.O Rioja,"0,75L",Tempranillo,12 meses en barrica de roble americano y 12 meses en botella,Intenso rojo rubí con un toque violeta,"Aromas a pimienta negra, clavo, moras y ciruelas",Los aromas se repiten con taninos suaves y redondos,"Carnes, patatas a la riojana, quesos curados y asados"
140,Vino Dairo,Tintos,D.O Montsant,"0,75L","Cariñena,Syrah,Garnacha",6 meses en barrica de roble ,Cereza intenso ,"Frutos rojos maduros, matices de roble y minerales","Carnoso, goloso, potente y bien equilibrado","Carnes blancas, barbacoas, aperitivos, embutidos, quesos"
141,Tinto la Garnacha Salvaje,Tintos,,,Garnacha,5 meses en barricas de roble americano,"Guinda granate, brillante y con ribete joven","Aromas de fruta roja, bayas silvestres y un toque vegetal","Sabroso, equilibrado, muy frutal, con predominio de fresas y frambuesas y un final goloso","Arroces con carne, embutidos, asados y carnes rojas a la parrilla"
142,Vino Dehesas Viejas ,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,12 meses en barrica de roble americano y francés,Rojo picota con ribete naranja,"Frutos rojos, notas de vainilla y torrefactos de madera",Equilibrado con final largo,"Cordero asado, carnes rojas a la parrilla, asados, caza menor y quesos"
143,Vino Carrascalejo,Tintos,D.O Bullas,"0,75L",Monastrell,Sin crianza,Rojo cereza con ribetes violáceos,Fruta fresca negra,"Fresco, alegre y equilibrado","Carnes rojas, caza, quesos"
144,Vino Estola,Tintos,D.O Mancha,"0,75L","Cabernet sauvignon,Tempranillo",36 meses en barrica de roble escogido,Rubí intenso con tonos ocres,Aromas especiados y tonos balsámicos,Aterciopelado y pleno con taninos muy expresivos,"Carnes rojas, caza y quesos semicurados"
145,Vino Viñas del Vero ,Tintos,D.O Somontano,"0,75L",Syrah,10 meses en barrica de roble ,Granate con ribete violáceo,"Aromas a frutas negras y rojas, toques minerales y dulces aromas del tostado","Amable, redondo y equilibrado","Carnes rojas a la sal, asados y guisos de caza"
146,Vino Campo Viejo,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo",Sin crianza,Rojo rubí,Frutas rojas,Fresco y frutal,"Asados, quesos, caza, arroces"
147,Vino Terra Càlida,Tintos,D.O Cataluña,"0,75L","Cabernet sauvignon,Tempranillo",1 mes en barrica de roble,Rojo cereza,Fruta roja madura   ,Frutas del bosque con notas de madera de roble (vainilla y ahumados),"Carnes, guisos, quesos y asados"
148,Vino Antaño,Tintos,D.O Rioja,"0,75L",Tempranillo,Sin crianza,Rojo rubí con tonos violáceos,Intenso y notas afrutadas,"Equilibrado, carnoso y aterciopelado, con final largo","Pastas, legumbres, embutidos, fiambres y carnes a la plancha"
149,Vino Apasionado,Tintos,D.O Jumilla,"0,75L","Petit verdot,Syrah,Cabernet sauvignon,Monastrell",Sin crianza,Rojo picota oscuro y brillante,"Café tostado, ciruelas y frutos negros","Pleno, sabroso, largo, con taninos suaves y redondos con final persistente","Carnes a la parrilla, comida picante, por copas o con una onza de chocolate"
150,Vino Roureda,Tintos,D.O Tarragona,"0,75L","Mazuelo,Tempranillo,Garnacha",12 meses en barrica de roble     ,Rojo rubí,Frutas maduras y notas especiadas,"Suave, equilibrado y potente","Carnes rojas, caza, guisos, quesos"
151,Vino Pluvium ,Tintos,D.O Valencia,"0,75L","Bobal,Cabernet sauvignon",Sin crianza,Cereza intenso,Fruta madura con toques minerales y fruta negra,"Expresivo, equilibrado, fresco y largo en boca","Arroces, salchichas, carnes y quesos"
152,Ederra Reserva,Tintos,D.O Rioja,,Tempranillo,18 meses en barrica de roble americano y 24 meses en botella,Rubí intenso,"Aromas a regaliz, frutos negros, toques minerales, especies y notas tostadas ",Entrada en boca suave con taninos con taninos delicados que hacen el vino agradable y redondo. Final persistente y elegante,"Carnes rojas y platos de caza, asados, aves, jamón serrano y quesos curados"
153,Vino Matarromera,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,12 meses en barrica de roble americano y francés y 12 meses en botella,Rojo picota con tonos violáceos,"Intenso, complejo, frutas negras y aromas de madera","Sabroso, paso generoso y final potente y largo","Cordero asado, carnes rojas a la parrilla, asados, caza menor y quesos"
154,Vino Ramón Roqueta,Tintos,D.O Cataluña,"0,75L",Cabernet sauvignon,1 mes en barrica de roble francés y americano,Granate intenso,Aromas varietales (cereza y especias),Armonioso con taninos redondos,Con todo
155,Vino Pragustus Mencía,Tintos,,,Mencía,Sin crianza,Rojo cereza con ribete rubí,Aromas a frutos rojos y negros con frescos toques florales,Carnoso y estructurado con un tanino bien domado,Aves de corral
156,Vino Val de Oliva,Tintos,V. de la tierra de Castilla y León,"0,75L",Tempranillo,Sin crianza,Rojo rubí intenso,Toques frutales,Elegante y armonioso,"Tapas, quesos y embutidos"
157,Vino Mayor de Castilla,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,14 meses en barrica de roble francés y 12 meses en botella ,Rojo picota intenso y ribete violáceo,Frutos silvestres rojos y negros con fondo de vainilla,"Taninos maduros, con postgusto elegante y largo","Carnes nobles, quesos y caza menor"
158,Vino Jaume Serra,Tintos,D.O Penedès,"0,75L",Tempranillo,3 meses en barrica de roble americano,Rojo granate con ribete rubí,Neto y profundo,Equilibrado con final prolongado,Platos cotidianos de nuestra mesa diaria
159,Vino Cune ,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo,Garnacha",18 meses en barrica de roble americano y francés,Granate con nota rojiza en el menisco,"Frutos del bosque, regaliz, vainilla y notas anisadas","Suave, con tanino bien integrado","Jamón, quesos no muy curados, guisos, legumbres, aves, carnes rojas, a la parrilla y asados"
160,Vino Los Molinos,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,En tanques de acero inoxidable durante 12-15 días,Rubí intenso,Frutos rojos y flores,Agradable sensación tánica,"Tapas, arroz, patés y barbacoas"
161,Vino Altos De Tamaron,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,24 meses en barrica de roble francés y americano y 12 meses en botella,Rojo cereza con ligeros tonos marrones,Elegante y potente,"Complejo, potente y envolvente","Carnes rojas, caza, guisos y quesos"
162,Vino Altos de Tamaron,Tintos,D.O Ribera del Duero,"0,375L",Tempranillo,14 meses en barrica de roble americano y 9 meses en botella,Intenso color cereza con tonos violáceos,"Aromas a frutos negros, cacao, tabaco y especias","Untuoso y envolvente, con postgusto largo y elegante","Cochinillo, lechazo, guisos y carnes de caza"
163,Vino L'Agnet,Tintos,D.O Priorat,"0,75L","Cariñena,Garnacha",3 meses en botella,Granate intenso con tonos azules y dorados,"Limpio e intenso, frutas del bosque maduras",Complejo y equilibrado con presencia de taninos,"Carnes, parrilladas, asados, embutidos y quesos"
164,Martín Berdugo,Tintos,D.O Ribera del Duero,,Tempranillo,Sin crianza,"Color cereza intenso, muy vivo, con ribetes azulados y violáceos, brillante y limpio","Aroma intenso con abundante fruta, frutos negros. Se aprecian notas florales y frutales","Sabor carnoso, aromas de fruta fresca y equilibrio entre acidez y taninos dulces","Todo tipo de carnes, pescados y asados"
165,Vino La Traca,Tintos,D.O Valencia,"0,75L","Bobal,Tempranillo",Sin crianza,Rojo cereza con reflejos morados,Frutas rojas maduras,"Expresivo, equilibrado, fresco y largo en boca","Quesos, carnes y guisos"
166,Cava Rondel Oro,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pálido brillante con reflejos verdosos y burbuja fina,"Flores, cítricos y manzana verde","Fresco, ligero y agradable",Aperitivos y postres
167,Carlades  ,Blancos,,,Airen,Sin crianza,Amarillo brillantes con matices dorados,Fruta fresca en nariz,Bien equilibrado,"Primeros platos, pescados y mariscos"
168,Vino El Prior Ramón Roqueta,Generosos,V. de la tierra de Cataluña,"0,75L",Moscatel,Sin crianza,Amarillo pajizo con reflejos dorados,"Intenso, toques de melocotón, melón y flores","Fruta confitada, amplia estructura, buen equilibrio de acidez y dulzor",Aperitivos
169,Vino Lagar da Xestosa,Blancos,D.O Ribeiro,"0,75L",Palomino,Sin crianza,Amarillo verdoso con reflejos dorados,"Aromas florales, tropicales y cítricos","Suave, fresco y fácil de beber","Aperitivos, mariscos, pescados y patés"
170,Vino Cop de Vent,Blancos,D.O Empordà,"0,75L","Moscatel,Macabeo",Sin crianza,Amarillo opaco,Cítricos y hierbas,"Suave, fresco de final largo","Pescados, mariscos"
171,Cava Freixenet Mini Nevada ,Espumosos,D.O Cava,"0,2L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo brillante con burbuja media,Aromas florales  ,Bien estructurado en boca,Para cualquier comida o solo
172,Vino Viña Albali,Blancos,D.O Valdepeñas,"0,75L",Verdejo,Sin crianza,Amarillo limón pálido,Floral y afrutado,"Toque a hierba, cítricos, melocotón y albaricoque","Pescados, mariscos, calamares y cocina oriental como sushi"
173,Vino René Barbier Tradición,Rosados,D.O Cataluña,"0,75L","Tempranillo,Merlot",Sin crianza,Fresa intenso,Frutas rojas,"Fresco, afrutado, equilibrado y buena acidez","Aperitivos, arroces, verduras, pasta"
174,Vino Mateus,Rosados,V. de la tierra de Portugal,"0,75L","Tinta franca,Rufete,Baga,Tinta barroca",Sin crianza,Llamativo y brillante,"Fresco, seductor, buena intensidad aromática y toda la vivacidad de los vinos jóvenes",Equilibrado y final suave,"Platos ligeros, pescados, mariscos, carnes blancas, parrilladas, ensaladas, cocina italiana y asiáticas"
175,Vino Peñascal,Rosados,V. de la tierra de Castilla y León,"0,75L",Tempranillo,Sin crianza,Rosa frambuesa,Afrutado y perfumado,Delicado bouquet y suavidad,"Arroces, pastas, mariscos, carnes blancas y pescados"
176,Vino San Clemente,Generosos,D.O Málaga,1L,Pedro ximenez,Sin crianza,Oscuro con reflejos cobrizos,"Aromas a pasas, complejo y espirituoso con notas dulces de caramelo",Sabor suave y largo,Aperitivos
177,Vino Pescador ,Rosados,V. de la tierra de Cataluña,"0,75L","Merlot,Garnacha,Trepat",Sin crianza,Rosa pálido muy brillante,Seco y aromático,"Chispeante, ligero y exquisito paladar","Carnes, arroces, ensaladas, entrantes, pescados, mariscos, pizzas y tapas"
178,Vino Bach ,Blancos,D.O Cataluña,"0,75L","Parellada,Macabeo,Xarel.lo",Sin crianza,Amarillo brillante con reflejos dorados,"Miel, orejones, vainilla, piel de naranja confitada, especias dulces y frutos secos",Envolvente y dulce,"Repostería, foie, quesos azules, aperitivos, mariscos y pescados"
179,Vino Segura Viudas ,Rosados,D.O Cataluña,"0,75L","Tempranillo,Merlot",Sin crianza,Rosa pálido,"Frutas rojas, fruta blanca, tropical y flores","Sabroso, goloso, persistente y fresco","Fritos mediterráneos, cocina mexicana, pastas, ensaladas"
180,Vino Conde de Caralt ,Blancos,D.O Cataluña,"0,75L","Parellada,Macabeo,Xarel.lo",Sin crianza,Amarillo pajizo con reflejos acerados,Frutos balsámicos,Fresco y sabroso,"Pescado, marisco, tapas"
181,Vino Sandara ,Blancos,V. de la tierra de la C. Valenciana,"0,75L","Sauvignon blanc,Verdejo,Viura",Sin crianza,Amarillo pajizo ,Aromas a flores delicadas,Frutas de verano con toque cítrico,"Comida étnica, cocina de fusión y postres"
182,Vino Viña Laujar ,Rosados,V. de la tierra Laujar-Alpujarra,"0,75L","Tempranillo,Garnacha",Sin crianza,Guinda claro intenso,"Frutas almibaradas, flores y fruta fresca","Complejo, fresco, con final goloso","Pastas, arroces y carnes blancas"
183,Vino Castillo de Lliria ,Rosados,D.O Valencia,"0,75L",Bobal,Sin crianza,Rosa frambuesa,Fresa y flores,"Sabroso, afrutado y fresco","Zarzuela de pescado, arroz o pastas"
184,Cava Brut Nat. Rsva M. Monistrol ,,D.O Cava,,"Chardonnay,Macabeo,Xarel.lo,Parellada",24 meses,"Aromático, profundo y franco", Aromas de cítricos y notas minerales,"Sabor a frutos frescos, con un final seco y aterciopelado",
185,Vino Cune ,Rosados,D.O Rioja,"0,75L",Tempranillo,Sin crianza,Rojo fresa con tonalidad azulada en el menisco,"Frutos rojos, notas dulces a golosinas y regaliz rojo",Buen equilibrio entre acidez y dulzor,"Aperitivos, entremeses, pastas, legumbres, pescado azul y carnes ligeras"
186,Cava Anna de Codorniu,Espumosos,D.O Cava,"0,75L",Pinot noir,9 meses en botella,Amarillo brillante con reflejos metálicos,"Frutas negras, frutas rojas y violeta","Armónico y lleno de vida, largo con sabores muy expresivos","Pasta fría, pescados, arroces, postres de fruta, tartas"
187,López de Haro Blanco,Blancos,D.O Rioja,,Viura,3 meses en barricas de roble francés,Color amarillo pajizo,"Fruta madura, dátiles y plátano ","Carnoso y fresco, resulta largo y equilibrado y deja un agradable recuerdo","Pescados, mariscos, aperitivos y arroces"
188,Vino Blanco seco Bach ,Blancos,D.O Cataluña,"0,75L","Moscatel,Chardonnay,Xarel.lo",Sin crianza,Amarillo limón con reflejos verdosos,"Fruta amarilla y blanca, con un sutil perfume floral","Amplio, fresco, intenso con agradable final","Aperitivos, mariscos, crustáceos, pescados y carnes blancas"
189,Viña Esmeralda,Rosados,D.O Cataluña,"0,75L",Garnacha,4 MESES SOBRE LIAS,"ROSA EVANESCENTE, SEDUCTOR Y TENUE",AROMA SUTIL A CONFITURA DE LIMON CON UNA NOTA QUE RECUERDA AL LICOR DE ROSAS,"DELICADO, ELEGANTE Y SECO","PESCADOS AHUMADOS, SUSHI O TATAKI DE SALMON O ATUN."
190,Vino Pazo,Blancos,D.O Ribeiro,"0,75L","Torrontes,Palomino",Sin crianza,"Amarillo pajizo, limpio y brillante","Frutas blancas, hinojo y hierba fresca","Equilibrado, sabroso, fresco y alegre",Pescados  y aperitivos
191,Vino I love Italy,Espumosos,V. de la tierra de Italia,"0,75L",Lambrusco de modena,Sin crianza,"Rosado, brillante, rojo rosáceo intenso","Afrutado, floral y frutos rojos","Agradable, picante, dulce y un poco picante al paladar","Entrantes fríos, arroces, carnes blancas y rojas, pizza, pescados, pastas y comida asiática"
192,Champagne Moët Chandon,Espumosos,D.O Champagne,"0,75L","Pinot meunier,Pinot noir,Chardonnay",36 meses en botella,Amarillo pajizo dorado con destellos verdes,"Aromas intensos a fruta blanca, cítricos, flores blancas y minerales","Suntuoso, suave y seductor","Durante toda la comida, sushi, ostras, vieiras, pescado blanco, carnes blancas"
193,Vino Consigna,Blancos,I.G.P. V. de la tierra de Castilla,"0,187L",Sauvignon blanc,Sin crianza,Amarillo pálido con reflejos acerados,"Intenso, con notas cítricas y tropicales con toques de hierbas","Fresco, afrutado y vivaz","Pescados, mariscos, ensaladas de pasta y arroz"
194,Eco Verdecillo,Ecológicos,D.O Jumilla,,Monastrell,Sin crianza,Color cereza intenso con ribetes violetas,"Aromas frutales, fruta roja madura y matices florales","Muy afrutado y fresco, suave, glicérico y sabroso","Ensaladas suaves, menestra de verdura, carne de cerdo, pollo y ternera a la brasa. Pescado blanco y azul, arroces y pasta italiana. Quesos de corta y media curación"
195,Vino Cresta Rosa,Rosados,V. de la tierra de Cataluña,"0,75L","Cabernet sauvignon,Tempranillo,Merlot",Sin crianza,Rosa pálido muy brillante,"Abocado, aromático y ligeramente afrutado","Chispeante, ligero y exquisito paladar","Pescados, arroces, pastas, aves y carnes blancas"
